job_title_full,salary,company,user_id,has_applied,v1,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v2,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v3,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v4,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v5,v50,v51,v52,v53,v54,v55,v56,v6,v7,v8,v9
Lead Culture Manager - EU (M/F/D),53000,b,U1044,1,0.83,0.42,0.17,0.41,0.01,0.46,0.87,0.1,0.53,0.26,0.67,0.05,0.58,0.2,0.14,0.21,0.18,0.03,0.8,0.55,0.18,0.67,0.17,NaN,0.7,0.63,0.47,0.9,0.16,0.54,0.3,0.09,0.16,0.98,0.25,0.85,0.73,0.24,0.84,0.43,1,0.72,0.74,0.79,0.4,0.02,0.84,0.28,0.22,0.86,0.27,0.23,0.89,NaN,0.26,0.86
Junior Product Analyst - NLP,53000,h,U1045,1,0.11,0.59,0.7,0.75,0.63,0,0.93,0.68,0.89,0.21,0.88,0.9,0.9,0.2,0.14,0.78,0.32,NaN,0.91,0.52,NaN,0.29,0.99,NaN,0,0.35,0.9,0.04,0.25,0.49,0.04,0.42,0.03,0.91,0.59,0.74,0.88,0.37,0.79,0.6,0.82,0.3,0.94,0.13,0.57,0.37,0.24,0.48,0.47,0.5,0.71,0.63,0.53,0.4,0.11,0.75
Lead Growth Marketing Manager - New Ventures  (M/F/D),NA,d,U1046,0,0.4,0.33,0.48,0.47,0.5,0.38,0.03,0.76,0.93,0.77,0.77,0.3,0.63,0.41,0.32,0.95,0.6,0.59,0.09,0.62,0.25,0.24,0.57,NaN,0.14,0.78,0.86,0.72,NaN,0.18,0.98,0.7,0.51,0.27,0.22,0.22,0.4,0.57,0.88,0.87,0.03,0.34,0.5,0.49,0.53,0.97,0.33,0.77,0.83,0.08,0.45,0.22,0.52,0.81,0.39,0.36
 SEO Marketeer - New Ventures ,NA,e,U1047,0,0.8,0.02,0.39,0.53,0.26,0.58,0.17,0.88,0.16,0.66,0.11,0.54,0.34,0.18,0.04,0.27,0.35,0.93,0.33,0.23,0.48,0.39,0.42,NaN,0.9,0.74,0.96,0.84,0.58,0.32,0.19,0.91,0.8,0.42,0.67,0.29,0.37,0.55,0.92,0.92,0.13,0.59,0.95,0.66,0.26,0.12,0.95,0.13,0.69,0.38,0.21,0.34,0.82,0.13,0.72,0.14
Senior Growth Marketing Manager - (Remote),NA,f,U1048,0,0.69,0.55,0.04,0.64,0.5,0.97,0.84,0.04,0.51,0.84,0.37,0.14,0.5,0.92,0.79,0.11,0.55,NaN,0.04,0.54,0.07,0.41,0.37,NaN,0.28,0.95,0.15,0.59,0.44,0.68,0.69,0.42,0.05,0.74,0.32,0.06,0.58,0.14,0.11,0.71,0.84,0.04,0.19,0.11,0.96,0.83,0.04,0.8,0.32,0.71,0.81,0.04,0.91,0.81,0.61,0.98
Senior Business Development Manager - EU (M/F/D),NA,f,U1049,1,0.18,0.49,0.15,0.62,0.32,NaN,0.04,NaN,0.42,NaN,0.57,0.97,0.02,0.84,0.51,0.46,0.83,NaN,0.43,0.94,0.11,0.22,0.49,NaN,0.79,0.97,0.02,0.53,0.4,1,0.74,0.56,0.34,0.1,0.94,0.02,0.67,0.25,0.52,0.83,0.66,0.49,0.9,0.87,0.65,0.62,0.63,0.36,0.47,0.41,0.57,0.6,0.31,0.93,0.44,0.32
Junior Data Consultant - (Internal Audit),55000,c,U1050,1,0.15,0.78,0.26,0.7,0.75,0.06,0.01,0.23,0.18,0.65,0.02,0.15,0.35,0.75,0.88,0.3,0.54,0.34,0.97,0.93,0.36,0.9,0.87,0.71,0.38,0.09,0.8,0.99,0.25,0.83,0.48,0.33,0.01,0.42,0.73,0.35,0.93,0.31,0.07,0.95,0.72,0.74,0.49,0.01,0.49,0.49,0.33,0.5,0.13,0.29,0.16,0.51,0.02,0.34,0.84,0.65
Senior Marketing Analyst - New Ventures ,NA,e,U1051,0,0.37,1,0.6,0.1,0.05,0.07,0.06,0.91,0.83,0.48,0.49,0.1,0.74,0.67,0.76,0.11,0.58,NaN,0.04,0.91,0.26,0.74,0.91,NaN,0.76,1,0.98,0.24,0.65,0.55,0.91,0.41,0.17,0.08,0.08,0.73,0.84,0.76,0.8,0.35,0.48,0.2,0.46,0.01,0.28,0.47,0.97,0.6,0.24,0.22,0.87,0.7,0.41,0.69,0.37,0.69
 Brand Marketing Manager - (Remote),NA,f,U1052,0,0.11,0.71,0.61,0.97,0.84,0.69,0.99,0.03,0.38,0.15,0.04,0.86,0.52,0.58,0.88,0.02,0.5,NaN,0.54,0.11,0.37,0.02,0.77,0.6,0.25,0.3,0.51,0.46,0.44,0.45,0.77,0.26,0.59,0.5,0.68,0.07,0.87,0.92,NaN,0.62,1,0.86,0.5,0.73,0.85,0.2,NaN,0.14,0.21,0.47,0.06,0.7,0.19,0.96,0.09,0.69
Lead Online Marketing Manager - (Remote) M/F/D,64000,a,U1053,1,0.43,0.32,0.34,NaN,0.05,0.85,0,0.12,0.72,0.54,0.07,0.62,0.7,0.02,0.98,0.18,0.59,NaN,0.65,NaN,0.36,0.79,0.56,0.31,0.37,0.61,0.76,0.8,0.56,0.03,0.68,0.35,0.85,0.67,0.14,0.21,0.12,0.59,0.17,0.59,0.38,0.46,0.81,0.39,0.27,0.88,0.97,0.47,0.94,0.73,0.17,0.46,NaN,0.49,0.18,0.06
Lead Product / UX Engineer - Pricing,NA,e,U1054,1,0.79,0.4,0.1,0.51,0.18,0.07,0.6,0.19,0.69,0.57,0.92,0.46,0.04,0.35,0.06,0.18,0.45,NaN,0.54,0.58,0.95,0.03,0.32,NaN,0.34,0.57,0.68,0.63,0.89,0.43,0.09,0.61,0.99,0.57,0.13,0.22,0.14,0.89,0.04,0.82,0.4,0.56,0.98,0.37,0.22,0.08,0.49,0.02,0.41,0.63,0.07,0.43,0.67,0.94,0.26,0.14
Lead SEO Marketeer M/F/D,NA,f,U1055,0,0.11,0.9,0.7,0.17,0.61,0.23,0.03,0.54,0.76,0.88,0.82,0.87,0.76,0.65,0.23,0.62,0.37,NaN,0.97,0.66,0.33,0.98,0.21,NaN,0.02,0.82,0.02,0.94,0.06,0.39,0.04,0.72,0.08,0.85,0.44,0.7,0.96,0.89,0.5,0.95,0.23,0.59,0.91,0.68,0.48,0.5,0.79,0.73,0.91,0.71,0.63,0.95,0.84,0.09,0.88,0.09
Lead Online Marketing Manager - (Remote) M/F/D,NA,f,U1056,0,0.46,0.49,0.52,0.42,NaN,0.5,0.8,0.24,0.19,0.88,NaN,0.5,0.91,0.1,0.22,0.25,0.32,NaN,0.04,0.26,0.71,0.56,0.01,NaN,0.89,0.69,0.12,0.47,0.9,0.67,0.32,0.17,0.45,0.97,0.73,0.19,0.32,0.15,0.38,0.05,0.42,0.17,0.51,0.36,0.37,0.88,0.78,0.86,0.63,0.77,0.64,0.31,0.03,0.03,0.88,0.73
Lead AI Researcher - Deep Learning,NA,c,U1057,1,0,0.81,0.81,0.7,0.18,0.35,0.77,0.26,0.76,0.02,0.14,0.59,0.88,0.23,0.96,0.02,0.22,NaN,0.56,0.89,0.24,0.27,0.95,NaN,0.13,0.93,0.55,0.09,0.37,0.63,0.84,0.28,0.11,0.87,0.27,0.71,0.42,0.14,0.19,0.58,0.56,0.29,0.9,0.19,0.26,0.11,0.39,0.77,0.14,1,0.86,0.37,0.91,0.32,0.17,0.39
Senior Backend Engineer (M/F/D),NA,f,U1058,1,0.57,0.23,0.61,0.56,0.72,0.17,0.9,0.46,0.21,0.08,NaN,0.98,0.58,0.81,0.8,0.83,0.9,NaN,0.05,0.64,0.33,0.08,0.94,NaN,0.36,0.95,0.59,0.65,0.49,0.01,0.64,1,0.23,0.03,0.5,0.25,0.98,0.69,0.12,0.66,1,0.75,0.5,1,0.09,0.51,0.55,0.86,0.96,0.31,0.07,0.21,0.78,0.21,0.91,0.83
 Culture Manager - EU M/F/D,NA,f,U1059,1,0.35,0.72,0.3,0.94,0.24,0.33,0.77,0.08,0.87,0.76,0.12,0.58,0.46,0.5,0.33,0.75,0.69,NaN,0.53,0.42,0.27,0.65,0.82,NaN,0.5,0.74,0.84,0.37,0.54,0.16,0.08,0.19,NaN,0.54,0.13,0.26,0.79,0.71,0.56,0.89,0.24,0.29,0.3,0.83,0.38,0.22,0.53,0.31,0.49,0.52,0.03,0.55,0.38,0.83,0.56,0.49
 SEO Marketing Manager m/f/d,NA,e,U1060,1,0.26,0.9,0.3,0.92,0.79,0.92,0.06,0.11,0.92,0.62,0.6,0.34,0.13,0.35,0.14,0.33,0.85,NaN,0.67,0.68,0.5,0.35,0.92,0.17,0.77,0.58,0.47,0.87,0.58,0.88,0.12,0.81,0.22,NaN,0.37,0.33,0.25,0.3,0.91,0.31,0.67,0.79,0.53,0.5,0.59,0.35,0.77,0.51,0.43,0.71,0.6,0.81,0.66,0.61,0.9,0.54
Senior Data Scientist - Supplier Financing M/F/D,52000,f,U1061,1,0.59,0.17,0,0.33,0.01,0.49,0.29,0.38,0.57,0.77,0.86,0.49,0.89,0.2,0.73,0.8,0.13,NaN,0.51,0.03,0.7,0.93,0.94,NaN,0.63,0.31,0.12,0.61,0.03,0.69,0.67,0.19,0.46,0.1,0.74,0.65,0.94,0.58,NaN,0.87,0.79,0.2,0.84,NaN,0.13,0.8,NaN,0.19,0.71,0.21,0.13,0.83,0.33,0.6,0.79,0.62
Senior Sustainability Manager,NA,a,U1062,1,0.49,0.49,0.22,0.71,0.47,0.66,0.19,0.37,0.85,0.74,0.09,0.13,0.06,0.06,0.09,0.88,0.5,NaN,0.57,0.49,0.76,0.83,0.21,NaN,0.65,0.66,0.68,0.59,0.1,0.18,0.9,0.25,0.3,0.22,0.42,0.36,0.46,0.75,0.3,0.5,0.3,0.23,0.98,0.97,0.5,0.63,0.14,0.35,0.07,NaN,0.93,0.16,0.72,0.21,0.24,0.53
Lead SEO Marketeer M/F/D,NA,g,U1063,1,0.31,0.75,0.35,0.58,0.95,0.97,0.28,0.62,0.41,0.45,0.28,0.86,0.51,0.08,0.78,0.55,0.1,0.24,0.62,0.31,0.31,0.11,0.97,0.46,0.28,0.46,0.79,0.51,0.94,0.27,0.52,0.54,0.02,0.42,0.54,0.72,0.17,0.37,0.36,0.6,0.99,0.34,0.08,0.49,0.11,0.66,0.82,0.33,0.04,0.22,0.96,0.01,0.62,0.2,0.15,0.56
Senior Data Science Manager m/f/d,NA,h,U1064,0,0.07,0.5,0.93,0.09,0.34,0.54,0.58,0.85,0.05,0.15,0.78,0.88,0.57,0.85,NaN,0.96,0.19,NaN,0.23,0.33,0.95,0.01,0.82,NaN,0.56,0.29,0.17,0.51,0.39,0.94,0.87,0.86,0.23,0.4,0.59,0.48,0.15,0.82,0.88,0.36,0.55,0.39,0.19,0.06,0.16,0.57,0.18,0.73,1,0.3,0.21,0.81,0.47,0.23,0.5,0.45
Lead Online Marketing Manager - (Remote) M/F/D,NA,f,U1065,1,0.65,0.53,0.14,0.54,0.62,0.74,0.37,0.13,0.81,0.51,0.68,0.96,0.4,0.35,0.41,0.22,0.35,NaN,0.61,0.17,0.89,0.95,0.8,0.05,0.36,0.88,0.16,0.69,0.39,0.1,0.33,0.73,0.77,0.37,0.55,0.6,0.09,0.02,0.32,0.8,0.26,0.85,0.23,0.73,0.09,0.55,0.25,0.4,0.33,0.26,0.95,0.42,0.85,0.59,0.59,0.03
 Software Developer - (Remote) (M/F/D),64000,d,U1066,1,0.07,0.4,0.91,0.83,0.08,0.52,0.21,0.1,0.94,0.49,0.91,0.53,0.91,0.57,0.22,0.37,0.46,NaN,0.27,0.07,0.3,0.34,0.91,NaN,NaN,0.07,0.69,0.86,0.41,0.39,0.13,0.74,0.37,0.28,0.56,0.96,0.53,0.56,0.35,0.91,0.71,0.43,0.67,0.43,0.07,0.77,0.71,0.8,0.62,0.61,0.96,0.86,0.47,0.09,0.44,0.09
 Big Data Analyst - (Internal Audit) (M/F/D),NA,d,U1067,1,0.51,0.37,0.47,0.74,0.64,0.31,0.83,0.39,0.24,0.71,0.37,0.24,0.92,0.17,0.82,0.74,0.66,NaN,0.8,0.62,0.42,0.42,0.89,0.27,0.64,0.32,0.61,0.36,0.5,0.93,0.02,0.01,0.96,0.51,0.69,0.07,0.45,0.02,0.38,0.29,0.96,0.91,0.64,0.46,NaN,0.11,0.01,0.09,0.68,0.85,0.71,0.43,0.12,NaN,0.49,0.77
 UI Designer m/f/d,NA,e,U1068,1,0.44,0.53,0.14,0.46,0.61,0.39,0.15,0.92,0.02,0.02,0.36,0.38,0.94,0.45,0.04,0.5,0.42,0.81,0.23,0.61,0.18,0.03,0.52,0.97,0.03,0.26,0.76,0.31,0.12,0.01,0.76,0.5,0.53,NaN,0.85,0.54,0.82,0.6,0.75,0.07,0.04,0.22,0.96,0.09,0.01,0.86,0.79,0.76,0.47,0.37,0.08,0.87,0.12,0.36,0.9,0.06
Senior Culture Manager - Global Transformation,NA,b,U1069,1,0.69,0.27,0.33,0.18,0.69,0.35,0.7,0.69,0.32,0.41,0.09,0.71,0.15,0.85,0.67,0.42,NaN,NaN,0.06,0.08,0.09,0.61,0.84,NaN,0.38,0.62,0.25,0.74,0.6,0.45,0.54,0.68,0.24,0.05,0.19,0.99,NaN,0.02,0.22,0.48,0.35,1,0.71,0.41,0.84,0.68,0.19,0.08,0.36,NaN,0.46,0.84,0.34,0.87,0.19,0.51
Senior Frontend Engineer - (Remote) (m/f/d),NA,f,U1070,0,0.11,0.48,0.4,0.15,0.9,0.74,0.03,0.87,0.37,0.97,0.56,0.72,0.57,0.36,0.98,0.31,0.29,NaN,1,0.96,0.63,0.36,0.09,NaN,0.67,0.43,0.5,0.9,0.88,0.34,0.81,0.59,0.67,0.96,0.49,0.36,0.52,0.28,0.41,0.99,0.87,0.24,0.38,0.51,0.99,0.38,0.08,0.45,0.99,0.55,0.42,0.43,0.79,0.58,0.73,0.46
 Software Developer - (Remote) (M/F/D),NA,e,U1071,0,0.06,0.89,0.9,0.42,0.44,0.8,0.62,0.76,0.64,0.79,0.31,0.98,0.83,0.71,0.59,0.96,0.44,NaN,0.57,0.68,0.92,0.48,0.97,0.02,0.71,NaN,0.68,0.17,0.06,0.45,0.88,0.65,0.83,0.23,0.69,0.1,0.73,0.94,0.25,0.97,0.63,0.33,0.49,0.46,0.86,0.83,0.42,0.13,0.02,0.16,0.93,0.21,0.71,0.94,0.9,0.63
Junior Product Manager -  Mobile,66000,c,U1072,1,0.89,0.42,0.62,0.88,0.72,0.76,0.22,0.02,0.86,0.35,0.01,0.7,0.79,0.02,0.41,0.85,0.06,NaN,0.13,0.4,0.31,0.46,0.09,NaN,0.73,0.26,0.45,0.14,0.68,0.44,0.58,0.03,0.7,0.85,0.87,0.95,0.73,0.46,0.87,0.17,0.71,0.98,0.21,0.99,0.03,0.38,0.78,0.6,0.66,0.4,1,0.79,NaN,0.02,0.31,0.41
 Operations Manager - France,NA,b,U1073,0,0.39,0.73,0.62,0.28,0.86,0.05,0.33,0.02,0.54,0.11,0.72,0.19,0.35,0.86,0.94,0.69,0.15,NaN,0.04,0.68,0.24,0.26,0.64,NaN,0.13,0.5,0.27,0.63,0.38,0.35,0.71,0.88,0.63,0.45,0.67,0.17,0.38,0.62,0.4,0.6,0.34,0.94,0.17,0.16,0.55,0.85,0.72,0.85,0.07,0.98,0.58,0.37,0.15,0.96,0.39,0.08
 Onboarding Manager - New Ventures,NA,a,U1074,1,0.43,0.12,0.64,0.49,0.55,0.13,0.34,0.88,0.15,0.07,0.4,0.98,0.96,0.44,0.21,0.43,0.49,0.66,0.21,0.52,0.47,0.01,0.12,NaN,0.24,0.31,0.07,0.33,0.06,0.54,0.21,0.89,0.15,0.08,0.75,0.59,0.8,0.89,0.85,0.1,0.98,0.49,0.5,0.27,0.73,0.99,0.28,0.8,0.59,0.87,0.98,0.64,0.06,0.02,0.4,0.13
Junior Reserch Scientist - (Internal Audit) (M/F/D),NA,d,U1075,0,0.69,0.08,0.59,0.76,0.43,0.61,0.32,0.65,0.23,0.17,0.1,0.74,0.64,0.6,0.65,0.97,0.18,NaN,0.8,0.87,0.45,0.55,0.77,0.83,0.39,0.5,0.68,0.21,0.4,0.09,0.8,0.15,0.03,0.17,0.95,0.33,0.52,0.63,0.88,0.89,0.39,NaN,0.93,0.94,0.14,0.99,0.75,0.75,0.18,0.27,0.39,0.22,0.14,0.47,0,0.98
Junior Product Owner - NLP,NA,b,U1076,0,0.6,0.43,0.69,0.22,0.1,0.24,0.19,0.05,0.02,0.39,0.6,0.16,0.41,0.25,0.76,0.15,0.75,NaN,0.12,0.98,0.81,0.36,0.59,NaN,0.55,0.28,0.39,0.59,0.99,0.84,0.2,0.16,0.62,0.95,0.83,0.64,0.25,0.62,0.36,0.45,0.57,0.75,0.35,0.47,0.18,0.57,0.15,0.39,0.42,0.02,0.38,0.44,0.71,0.56,0.56,0.54
Lead Sustainability Manager - New Ventures,NA,e,U1077,1,0.56,0.84,0.53,0.01,0.44,0.85,0.08,0.38,0.31,0.87,0.99,0.63,0.48,0.76,0.5,0.27,0.72,NaN,0.77,0.89,0.65,0.7,0.07,NaN,0.55,0.65,0.28,0.91,0.01,0.37,0.8,0.08,0.24,0.53,0.39,0.08,0.29,0.18,0.9,0.34,0.88,0.16,0.76,0.58,0.52,0.37,0.24,0.82,0.57,0.19,NaN,0.51,0.23,0.12,0.67,NaN
 Reserch Scientist - Supplier Financing m/f/d,NA,g,U1078,1,0.13,0.09,0.12,0.57,0.34,0.76,0.94,0.02,0.96,0.45,0.59,NaN,0.94,0.93,0.01,0.43,0.62,NaN,0.99,0.12,0.51,0.49,0.46,NaN,0.86,0.36,0.49,0.31,NaN,NaN,0.88,0.66,0.57,0.02,0.72,0.84,0.53,0.02,0.83,0.7,0.41,0.79,0.09,0.99,0.35,0.82,0.81,0.9,0.34,0.25,0.84,0.56,0.18,0.81,0.51,0
Senior UI Designer,NA,c,U1079,0,0.9,0.89,0.07,0.19,0.62,0.14,0,0.84,0.84,0.77,0.63,0.86,0.14,0.73,0.25,0.88,0.24,NaN,0.63,0.21,0.49,0.04,0.81,0.21,0.47,0.5,0.79,0.39,0.57,0.15,0.13,0.13,0.7,0.95,0.84,0.05,0.87,0.28,0.49,0.01,0.01,0.49,0.16,0.1,0.06,0.24,0.23,0.34,0.03,0.63,0.45,0.94,0.5,0.57,0.88,0.77
Lead Shop Manager - New Ventures,NA,e,U1080,0,0.06,0.03,0.97,0.75,0.12,0.37,0.1,0.79,0.84,0.07,0.82,0.59,0.46,0.72,0.31,0.67,0.47,NaN,0.79,0.63,0.62,0.48,0.69,NaN,0.17,0.13,0.01,0.8,0.92,0.31,0.18,0.01,0.96,0.53,0.16,0.83,0.99,0.23,0.51,0.75,0.19,0.47,0.11,0.41,0.63,0.81,NaN,0.54,0.87,0.33,0.39,0.45,0.61,NaN,0.39,0.36
Junior Data Scientist - Deep Learning,NA,d,U1081,1,0.75,0.62,1,NaN,0.23,0.41,NaN,0.2,0.83,0.09,0.02,0.24,0.83,0.97,0.54,0.83,0.61,0.27,0.41,0.96,0.43,0.16,0.9,NaN,0.08,0.73,0.71,0.93,0.52,0.84,0.03,0.73,0.79,0.36,0.43,0.33,0.32,0.4,0.73,0.18,0.43,0.36,0.35,0.53,0.63,0.65,0.88,0.15,0.69,0.09,0.98,0.13,0.34,1,0.52,0.33
Lead Shop Manager - New Ventures,NA,g,U1082,0,0.81,0.75,0.7,0.43,0.17,0.27,0.75,0.34,0.11,0.03,0.57,0.05,0.33,0.74,0.64,0.06,0.19,NaN,0.55,0.55,0.89,0.6,0.17,NaN,0.03,1,0.13,0.7,NaN,0.49,0.15,0.69,0.7,0.82,0.85,0.01,0.65,0.57,0.54,0.68,0.81,0.39,0.78,0.23,0.97,0.1,0.78,0.87,0.76,0.1,0.71,0.23,0.8,0.61,0.22,0.7
 Product Consultant - Pricing (M/F/D),NA,e,U1083,0,0.73,0.89,0.1,0.17,0.21,0.54,0.05,0.75,NaN,0.14,0.15,0.64,0.7,0.06,0.18,0.74,NaN,NaN,0.39,0.59,0.33,0.61,0.01,NaN,0.01,0.38,0.82,0.63,0.82,0.58,0.48,0.82,0.84,0.81,0.89,0.05,0.8,0.88,0.87,0.41,0.68,0.97,0.28,0.63,0.47,0.49,0.76,0.58,0.86,0.89,0.27,0.42,0.47,0.96,0.5,0.1
Lead Product / UX Engineer - Pricing,64000,b,U1084,1,0.15,0.7,0.6,0.07,0.22,0.48,0.6,0.19,0.38,0.04,0.33,0.58,0.41,0.1,0.57,0.71,0.6,0.24,0.87,0.53,0.88,0.36,NaN,NaN,0.13,0.09,0.69,0.76,0.85,1,0.21,0.47,0.81,0.06,0.18,0.95,0.92,0.86,0.46,0.5,0.92,0.5,0.45,0.98,0.34,0.26,0.4,0.75,0.73,0.19,0.04,0.03,0.61,0.46,0.06,0.66
Senior Growth Marketing Manager - (Remote),NA,c,U1085,1,0.79,0.82,0.39,0.25,0,0.02,0.25,0.87,0.83,0.45,0.51,0.12,0.92,0.48,0.71,0.96,0.87,NaN,0.35,0.23,0.02,0.49,0.46,NaN,0.84,0.27,0.14,0.3,0.05,0.65,0.58,0.2,0.98,0.18,0.49,0.42,0.73,0.12,0.23,0.11,0.26,0.65,0.23,0.18,0.19,0.33,0.35,0.89,0.29,0.89,0.87,0.96,0.51,0.12,0.62,0.07
Senior Offline Marketing Manager - New Ventures  (M/F/D),NA,g,U1086,0,0.72,0.45,0.1,0.57,0.8,0.64,0.39,0.22,0.35,0.78,0.37,0.89,0.08,0.25,0.88,0.85,0.22,NaN,0.21,0.9,0.83,0.19,0.6,NaN,0.13,0.61,0.25,0.66,0.23,0.46,0.58,0.72,0.93,0.22,0.55,0.58,0.04,0.49,0.22,0.65,0.72,0.65,0.89,0.33,0.54,0.56,0.88,0.37,0.36,0.45,0.24,0.86,0.72,0.92,0.47,0.56
Senior Data Scientist - Supplier Financing M/F/D,NA,f,U1087,0,0.57,0.9,0.38,0.78,0.83,0.82,0.46,0.71,0.01,0.21,0.17,0.38,0.52,0.83,0.73,0.88,0.51,NaN,0.36,0.08,0.46,0.45,0.94,0.86,0.88,0.68,0.45,0.88,0.1,0.75,0.21,0.97,0.05,0.77,0.28,0.43,NaN,NaN,0.39,0.8,0.85,0.05,0.64,0.95,0.99,0.81,0.4,0.4,0.83,0.22,0.84,0.34,NaN,0.27,0.71,0.56
Senior Offline Marketing Manager - New Ventures  (M/F/D),NA,f,U1088,0,0.65,0.72,0.52,0.65,0.31,0.06,0.25,0.02,0.07,0.5,0.73,0.08,0.45,0.26,0.52,0.34,0.81,0.74,0.89,0.48,0.92,0.11,0.81,0.89,0.17,0.79,1,0.86,0.45,0.7,0.34,0.28,0.57,0.54,0.04,0.45,0.17,0.88,0.39,0.83,NaN,0.11,0.96,0.72,0.1,0.88,0.05,0.52,0.14,0.07,0.03,0.77,0.41,0.7,0.65,0.03
Senior Onboarding Manager (m/f/d),52000,h,U1089,0,0.3,0.43,0.43,0.92,0.12,0.64,0.66,0.22,0.12,0.26,0.74,0.47,0.56,0.58,0.3,0.86,0.23,NaN,NaN,NaN,0.82,0.86,0.34,NaN,0.06,0.43,NaN,0.84,0.77,0.68,0.87,0.6,0.08,0.69,0.57,0.22,0.42,0.33,0.68,0.5,0.31,0.25,0.46,0.26,0.53,0.69,0.42,0.63,0.83,0.85,0.03,0.08,0.15,0.04,0.54,0.81
Junior SEO Marketing Manager - New Ventures  (m/f/d),NA,g,U1090,0,0.34,0.82,0.2,0.03,0.02,0.73,0.5,0.85,0.81,0.65,0.92,0.12,0.05,0.01,0.85,0.41,0.18,NaN,0.19,0.5,0.85,0.92,NaN,NaN,0.63,0.84,0.76,0.94,0.47,0.73,0.05,0.02,0.1,0.37,0.19,0.75,0.28,0.01,0.95,0.66,0.3,0.54,0.55,0.35,0.87,0.36,0.94,0.03,0.11,0.06,0.85,0.71,0.61,0.07,0.77,0.23
Senior Manager Innovation Lab - APAC m/f/d,NA,d,U1091,0,0.82,0.18,0.16,0.84,0.48,0.04,0.63,0.14,0.45,0.29,0.12,0.06,0.24,0.99,0.16,0.92,0.6,NaN,0.85,0.79,NaN,0.62,0.04,NaN,0.64,0.72,0.38,0.39,0.17,0.02,0.17,0.73,0.66,0.55,0.15,0.61,0.67,0.92,0.74,0.17,0.11,0.83,0.38,0.92,0.83,0.04,0.4,0.6,0.49,0.84,0.73,0.67,0.2,0.88,0.81,0.1
Senior Data Analyst - Pricing Team M/F/D,NA,g,U1092,1,0.78,0.67,0.73,0.96,0.23,0.21,0.06,0.64,0.9,0.66,0.58,0.34,0.09,0.45,0.79,0.11,0.96,NaN,0.08,0.52,0.78,0.54,0.67,0.44,0.33,0.91,0.56,0.96,0.58,0.88,0.92,0.79,0.75,0.56,0.63,0.37,0.35,0.43,0.79,0.89,0.33,0.29,0.33,0.19,0.27,0.53,0.89,0.98,0.74,0.04,0.81,0.48,0.58,0.35,0.43,0.43
 Manager Policy Affairs - APAC,NA,d,U1093,0,0.61,0.56,0.57,0.24,0.88,0.1,0.31,0.55,0.22,0.27,0.17,NaN,0.01,0.58,0.88,0.24,0.11,NaN,0.33,0.9,0.5,0.12,0.71,NaN,0.27,0.07,0.55,0.12,0.99,0.13,0.02,0.41,0.65,0.61,0.06,0.68,0.76,0.88,0.41,0.86,0.72,0.62,0.78,0.05,0.51,0.7,0.08,0.81,0.36,0.35,0.93,0.4,0.4,0.27,0.13,0.46
 Sustainability Manager - APAC,59000,g,U1094,0,0.63,0.15,0.51,0.63,0.99,0.57,0.77,0.28,0.32,0.82,0.82,0.93,NaN,0.58,0.56,0.27,0.55,NaN,0.05,0.72,0.41,0.85,0.28,NaN,0.59,0.74,0.67,0.46,0.81,0.45,0.06,0.05,0.4,0.93,0.96,0.31,0.75,0.62,0.8,1,0.68,0.77,0.9,0.24,0.36,0.17,0.81,0.28,0.5,0.61,0.26,0.54,0.48,0.61,0.36,0.06
 Product Owner - Checkout,NA,g,U1095,1,0.96,NaN,0.66,0.08,0.78,0.43,0.26,0.53,0.72,0.27,0.67,0.41,0.84,0.49,0.21,0.75,0.3,0.04,0.65,0.28,0.46,0.08,NaN,0.66,0.3,0.32,0.66,0.87,0.76,0.67,0.26,0.92,NaN,0.96,0.67,0.7,0.25,0.65,0.6,0.37,0.82,0.72,0.43,0.28,0.11,0.7,0.5,0.38,0.42,0.43,0.57,0.17,0.61,0.48,0.52,0.13
 Machine Learning Engineer - NLP M/F/D,NA,e,U1096,0,0.99,0.82,0.17,0.58,0.8,0.55,0.85,0.7,0.05,0.35,0.97,0.76,0.72,0.59,0.52,0.86,0.58,NaN,0.06,0.81,0.66,0.53,0.36,0.88,0.47,0.61,0.89,0.78,0.94,0.49,0.63,0.15,0.95,0.87,0.54,0.31,0.5,0.57,NaN,0.67,0.14,0.83,0.23,0.26,0.85,0.54,0.02,0.2,0.02,0.33,0.96,0.34,0.05,0.26,0.17,0.53
Junior Manager Innovation Lab - France (M/F/D),51000,f,U1097,1,0.61,0.94,0.35,0.57,0.99,0.37,0.79,0.24,0.08,0.43,0.29,0.44,0.98,0.67,0.69,0.9,0.7,NaN,0.38,0.8,0.98,0.63,0.45,0.44,0.78,0.78,0.72,0.46,0.67,0.23,0.16,0.7,0.77,0.03,0.91,0.29,0.05,0.08,0.53,0.12,0.14,0.72,0.8,0.99,0.78,0.6,0.37,0.61,0.03,0.59,0.74,0.9,0.05,0.62,0.59,0.82
